Accession,Age
GSM2172190,21
GSM2172191,21
GSM2172192,21
GSM2172193,21
GSM2172194,21
GSM2172195,21
GSM2172196,21
GSM2172197,21
GSM2172198,21
GSM2172199,21
GSM2172200,21
GSM2172201,21
GSM2172202,21
GSM2172203,21
GSM2172204,21
GSM2172205,21
GSM2172206,21
GSM2172207,21
GSM2172208,21
GSM2172209,21
GSM2172210,21
GSM2172211,21
GSM2172212,21
GSM2172213,21
GSM2172214,21
GSM2172215,21
GSM2172216,21
GSM2172217,21
GSM2172218,21
GSM2172219,21
GSM2172220,21
GSM2172221,21
GSM2172222,21
GSM2172223,21
GSM2172224,21
GSM2172225,21
GSM2172226,21
GSM2172227,21
GSM2172228,21
GSM2172229,21
GSM2172230,21
GSM2172231,21
GSM2172232,21
GSM2172233,21
GSM2172234,21
GSM2172235,21
GSM2172236,21
GSM2172237,21
GSM2172238,21
GSM2172239,21
GSM2172240,21
GSM2172241,21
GSM2172242,21
GSM2172243,21
GSM2172244,21
GSM2172245,21
GSM2172246,21
GSM2172247,21
GSM2172248,21
GSM2172249,21
GSM2172250,21
GSM2172251,21
GSM2172252,21
GSM2172253,21
GSM2172254,21
GSM2172255,21
GSM2172256,21
GSM2172257,21
GSM2172258,21
GSM2172259,21
GSM2172260,21
GSM2172261,21
GSM2172262,21
GSM2172263,21
GSM2172264,21
GSM2172265,21
GSM2172266,21
GSM2172267,21
GSM2172268,21
GSM2172269,21
GSM2172270,21
GSM2172271,21
GSM2172272,21
GSM2172273,21
GSM2172274,21
GSM2172275,21
GSM2172276,21
GSM2172277,21
GSM2172278,21
GSM2172279,21
GSM2172280,21
GSM2172281,21
GSM2172282,21
GSM2172283,21
GSM2172284,21
GSM2172285,21
GSM2172286,21
GSM2172287,21
GSM2172288,21
GSM2172289,21
GSM2172290,21
GSM2172291,21
GSM2172292,21
GSM2172293,21
GSM2172294,21
GSM2172295,21
GSM2172296,21
GSM2172297,21
GSM2172298,21
GSM2172299,21
GSM2172300,21
GSM2172301,21
GSM2172302,21
GSM2172303,21
GSM2172304,21
GSM2172305,21
GSM2172306,21
GSM2172307,21
GSM2172308,21
GSM2172309,21
GSM2172310,21
GSM2172311,21
GSM2172312,21
GSM2172313,21
GSM2172314,21
GSM2172315,21
GSM2172316,21
GSM2172317,21
GSM2172318,21
GSM2172319,21
GSM2172320,21
GSM2172321,21
GSM2172322,21
GSM2172323,21
GSM2172324,21
GSM2172325,21
GSM2172326,21
GSM2172327,21
GSM2172328,21
GSM2172329,21
GSM2172330,21
GSM2172331,21
GSM2172332,21
GSM2172333,21
GSM2172334,21
GSM2172335,21
GSM2172336,21
GSM2172337,21
GSM2172338,21
GSM2172339,21
GSM2172340,21
GSM2172341,21
GSM2172342,21
GSM2172343,21
GSM2172344,21
GSM2172345,21
GSM2172346,21
GSM2172347,21
GSM2172348,21
GSM2172349,21
GSM2172350,21
GSM2172351,21
GSM2172352,21
GSM2172353,21
GSM2172354,21
GSM2172355,21
GSM2172356,21
GSM2172357,21
GSM2172358,21
GSM2172359,21
GSM2172360,21
GSM2172361,21
GSM2172362,21
GSM2172363,21
GSM2172364,21
GSM2172365,21
GSM2172366,21
GSM2172367,21
GSM2172368,21
GSM2172369,21
GSM2172370,21
GSM2172371,21
GSM2172372,21
GSM2172373,21
GSM2172374,21
GSM2172375,21
GSM2172376,21
GSM2172377,21
GSM2172378,21
GSM2172379,21
GSM2172380,21
GSM2172381,21
GSM2172382,21
GSM2172383,21
GSM2172384,21
GSM2172385,38
GSM2172386,38
GSM2172387,38
GSM2172388,38
GSM2172389,38
GSM2172390,38
GSM2172391,38
GSM2172392,38
GSM2172393,38
GSM2172394,38
GSM2172395,38
GSM2172396,38
GSM2172397,38
GSM2172398,38
GSM2172399,38
GSM2172400,38
GSM2172401,38
GSM2172402,38
GSM2172403,38
GSM2172404,38
GSM2172405,38
GSM2172406,38
GSM2172407,38
GSM2172408,38
GSM2172409,38
GSM2172410,38
GSM2172411,38
GSM2172412,38
GSM2172413,38
GSM2172414,38
GSM2172415,38
GSM2172416,38
GSM2172417,38
GSM2172418,38
GSM2172419,38
GSM2172420,38
GSM2172421,38
GSM2172422,38
GSM2172423,38
GSM2172424,38
GSM2172425,38
GSM2172426,38
GSM2172427,38
GSM2172428,38
GSM2172429,38
GSM2172430,38
GSM2172431,38
GSM2172432,38
GSM2172433,38
GSM2172434,38
GSM2172435,38
GSM2172436,38
GSM2172437,38
GSM2172438,38
GSM2172439,38
GSM2172440,38
GSM2172441,38
GSM2172442,38
GSM2172443,38
GSM2172444,38
GSM2172445,38
GSM2172446,38
GSM2172447,38
GSM2172448,38
GSM2172449,38
GSM2172450,38
GSM2172451,38
GSM2172452,38
GSM2172453,38
GSM2172454,38
GSM2172455,38
GSM2172456,38
GSM2172457,38
GSM2172458,38
GSM2172459,38
GSM2172460,38
GSM2172461,38
GSM2172462,38
GSM2172463,38
GSM2172464,38
GSM2172465,38
GSM2172466,38
GSM2172467,38
GSM2172468,38
GSM2172469,38
GSM2172470,38
GSM2172471,38
GSM2172472,38
GSM2172473,38
GSM2172474,38
GSM2172475,38
GSM2172476,38
GSM2172477,38
GSM2172478,38
GSM2172479,38
GSM2172480,38
GSM2172481,38
GSM2172482,38
GSM2172483,38
GSM2172484,38
GSM2172485,38
GSM2172486,38
GSM2172487,38
GSM2172488,38
GSM2172489,38
GSM2172490,38
GSM2172491,38
GSM2172492,38
GSM2172493,38
GSM2172494,38
GSM2172495,38
GSM2172496,38
GSM2172497,38
GSM2172498,38
GSM2172499,38
GSM2172500,38
GSM2172501,38
GSM2172502,38
GSM2172503,38
GSM2172504,38
GSM2172505,38
GSM2172506,38
GSM2172507,38
GSM2172508,38
GSM2172509,38
GSM2172510,38
GSM2172511,38
GSM2172512,38
GSM2172513,38
GSM2172514,38
GSM2172515,38
GSM2172516,38
GSM2172517,38
GSM2172518,38
GSM2172519,38
GSM2172520,38
GSM2172521,38
GSM2172522,38
GSM2172523,38
GSM2172524,38
GSM2172525,38
GSM2172526,38
GSM2172527,38
GSM2172528,38
GSM2172529,38
GSM2172530,38
GSM2172531,38
GSM2172532,38
GSM2172533,38
GSM2172534,38
GSM2172535,38
GSM2172536,38
GSM2172537,38
GSM2172538,38
GSM2172539,38
GSM2172540,38
GSM2172541,38
GSM2172542,38
GSM2172543,38
GSM2172544,38
GSM2172545,38
GSM2172546,38
GSM2172547,38
GSM2172548,38
GSM2172549,38
GSM2172550,38
GSM2172551,38
GSM2172552,38
GSM2172553,38
GSM2172554,38
GSM2172555,38
GSM2172556,38
GSM2172557,38
GSM2172558,38
GSM2172559,38
GSM2172560,38
GSM2172561,38
GSM2172562,38
GSM2172563,38
GSM2172564,38
GSM2172565,38
GSM2172566,38
GSM2172567,38
GSM2172568,38
GSM2172569,38
GSM2172570,38
GSM2172571,38
GSM2172572,38
GSM2172573,38
GSM2172574,38
GSM2172575,38
GSM2172576,38
GSM2172577,38
GSM2172578,38
GSM2172579,38
GSM2172580,38
GSM2172581,38
GSM2172582,38
GSM2172583,38
GSM2172584,38
GSM2172585,38
GSM2172586,38
GSM2172587,38
GSM2172588,38
GSM2172589,38
GSM2172590,38
GSM2172591,38
GSM2172592,38
GSM2172593,38
GSM2172594,38
GSM2172595,38
GSM2172596,38
GSM2172597,38
GSM2172598,38
GSM2172599,38
GSM2172600,38
GSM2172601,38
GSM2172602,38
GSM2172603,38
GSM2172604,38
GSM2172605,38
GSM2172606,38
GSM2172607,38
GSM2172608,38
GSM2172609,38
GSM2172610,38
GSM2172611,38
GSM2172612,38
GSM2172613,38
GSM2172614,38
GSM2172615,38
GSM2172616,38
GSM2172617,38
GSM2172618,38
GSM2172619,38
GSM2172620,38
GSM2172621,38
GSM2172622,38
GSM2172623,38
GSM2172624,38
GSM2172625,38
GSM2172626,38
GSM2172627,38
GSM2172628,38
GSM2172629,38
GSM2172630,38
GSM2172631,38
GSM2172632,38
GSM2172633,38
GSM2172634,38
GSM2172635,38
GSM2172636,38
GSM2172637,38
GSM2172638,38
GSM2172639,38
GSM2172640,38
GSM2172641,38
GSM2172642,38
GSM2172643,38
GSM2172644,38
GSM2172645,38
GSM2172646,38
GSM2172647,38
GSM2172648,38
GSM2172649,38
GSM2172650,38
GSM2172651,38
GSM2172652,38
GSM2172653,38
GSM2172654,38
GSM2172655,38
GSM2172656,38
GSM2172657,38
GSM2172658,38
GSM2172659,38
GSM2172660,38
GSM2172661,38
GSM2172662,38
GSM2172663,38
GSM2172664,38
GSM2172665,38
GSM2172666,38
GSM2172667,38
GSM2172668,38
GSM2172669,38
GSM2172670,38
GSM2172671,38
GSM2172672,38
GSM2172673,38
GSM2172674,38
GSM2172675,38
GSM2172676,38
GSM2172677,38
GSM2172678,38
GSM2172679,38
GSM2172680,38
GSM2172681,38
GSM2172682,38
GSM2172683,38
GSM2172684,38
GSM2172685,38
GSM2172686,38
GSM2172687,38
GSM2172688,38
GSM2172689,38
GSM2172690,38
GSM2172691,38
GSM2172692,38
GSM2172693,38
GSM2172694,38
GSM2172695,38
GSM2172696,38
GSM2172697,38
GSM2172698,38
GSM2172699,38
GSM2172700,38
GSM2172701,38
GSM2172702,38
GSM2172703,38
GSM2172704,38
GSM2172705,38
GSM2172706,38
GSM2172707,38
GSM2172708,38
GSM2172709,38
GSM2172710,38
GSM2172711,38
GSM2172712,38
GSM2172713,38
GSM2172714,38
GSM2172715,38
GSM2172716,38
GSM2172717,38
GSM2172718,38
GSM2172719,38
GSM2172720,38
GSM2172721,38
GSM2172722,38
GSM2172723,38
GSM2172724,38
GSM2172725,38
GSM2172726,38
GSM2172727,38
GSM2172728,38
GSM2172729,38
GSM2172730,38
GSM2172731,38
GSM2172732,38
GSM2172733,38
GSM2172734,38
GSM2172735,38
GSM2172736,38
GSM2172737,38
GSM2172738,38
GSM2172739,38
GSM2172740,38
GSM2172741,38
GSM2172742,38
GSM2172743,38
GSM2172744,38
GSM2172745,38
GSM2172746,38
GSM2172747,38
GSM2172748,38
GSM2172749,38
GSM2172750,38
GSM2172751,38
GSM2172752,38
GSM2172753,38
GSM2172754,38
GSM2172755,38
GSM2172756,38
GSM2172757,38
GSM2172758,38
GSM2172759,38
GSM2172760,38
GSM2172761,38
GSM2172762,38
GSM2172763,38
GSM2172764,1
GSM2172765,1
GSM2172766,1
GSM2172767,1
GSM2172768,1
GSM2172769,1
GSM2172770,1
GSM2172771,1
GSM2172772,1
GSM2172773,1
GSM2172774,1
GSM2172775,1
GSM2172776,1
GSM2172777,1
GSM2172778,1
GSM2172779,1
GSM2172780,1
GSM2172781,1
GSM2172782,1
GSM2172783,1
GSM2172784,1
GSM2172785,1
GSM2172786,1
GSM2172787,1
GSM2172788,1
GSM2172789,1
GSM2172790,1
GSM2172791,1
GSM2172792,1
GSM2172793,1
GSM2172794,1
GSM2172795,1
GSM2172796,1
GSM2172797,1
GSM2172798,1
GSM2172799,1
GSM2172800,1
GSM2172801,1
GSM2172802,1
GSM2172803,1
GSM2172804,1
GSM2172805,1
GSM2172806,1
GSM2172807,1
GSM2172808,1
GSM2172809,1
GSM2172810,1
GSM2172811,1
GSM2172812,1
GSM2172813,1
GSM2172814,1
GSM2172815,1
GSM2172816,1
GSM2172817,1
GSM2172818,1
GSM2172819,1
GSM2172820,1
GSM2172821,38
GSM2172822,38
GSM2172823,38
GSM2172824,38
GSM2172825,38
GSM2172826,38
GSM2172827,38
GSM2172828,38
GSM2172829,38
GSM2172830,38
GSM2172831,38
GSM2172832,38
GSM2172833,38
GSM2172834,38
GSM2172835,38
GSM2172836,38
GSM2172837,38
GSM2172838,38
GSM2172839,38
GSM2172840,38
GSM2172841,38
GSM2172842,38
GSM2172843,38
GSM2172844,38
GSM2172845,38
GSM2172846,38
GSM2172847,38
GSM2172848,38
GSM2172849,38
GSM2172850,38
GSM2172851,38
GSM2172852,38
GSM2172853,38
GSM2172854,38
GSM2172855,38
GSM2172856,38
GSM2172857,38
GSM2172858,38
GSM2172859,38
GSM2172860,38
GSM2172861,38
GSM2172862,38
GSM2172863,38
GSM2172864,38
GSM2172865,38
GSM2172866,38
GSM2172867,38
GSM2172868,38
GSM2172869,38
GSM2172870,38
GSM2172871,38
GSM2172872,38
GSM2172873,38
GSM2172874,38
GSM2172875,38
GSM2172876,38
GSM2172877,38
GSM2172878,38
GSM2172879,38
GSM2172880,38
GSM2172881,38
GSM2172882,38
GSM2172883,38
GSM2172884,38
GSM2172885,38
GSM2172886,38
GSM2172887,38
GSM2172888,38
GSM2172889,38
GSM2172890,38
GSM2172891,38
GSM2172892,38
GSM2172893,38
GSM2172894,38
GSM2172895,38
GSM2172896,38
GSM2172897,38
GSM2172898,38
GSM2172899,38
GSM2172900,38
GSM2172901,38
GSM2172902,38
GSM2172903,38
GSM2172904,38
GSM2172905,38
GSM2172906,38
GSM2172907,38
GSM2172908,38
GSM2172909,38
GSM2172910,38
GSM2172911,38
GSM2172912,38
GSM2172913,38
GSM2172914,38
GSM2172915,38
GSM2172916,5
GSM2172917,5
GSM2172918,5
GSM2172919,5
GSM2172920,5
GSM2172921,5
GSM2172922,5
GSM2172923,5
GSM2172924,5
GSM2172925,5
GSM2172926,5
GSM2172927,5
GSM2172928,5
GSM2172929,44
GSM2172930,44
GSM2172931,5
GSM2172932,5
GSM2172933,44
GSM2172934,44
GSM2172935,44
GSM2172936,44
GSM2172937,5
GSM2172938,44
GSM2172939,5
GSM2172940,5
GSM2172941,5
GSM2172942,44
GSM2172943,44
GSM2172944,5
GSM2172945,5
GSM2172946,44
GSM2172947,44
GSM2172948,44
GSM2172949,5
GSM2172950,44
GSM2172951,5
GSM2172952,5
GSM2172953,5
GSM2172954,44
GSM2172955,44
GSM2172956,5
GSM2172957,5
GSM2172958,5
GSM2172959,5
GSM2172960,5
GSM2172961,5
GSM2172962,44
GSM2172963,44
GSM2172964,5
GSM2172965,5
GSM2172966,44
GSM2172967,5
GSM2172968,5
GSM2172969,5
GSM2172970,44
GSM2172971,5
GSM2172972,5
GSM2172973,44
GSM2172974,5
GSM2172975,44
GSM2172976,5
GSM2172977,44
GSM2172978,44
GSM2172979,5
GSM2172980,44
GSM2172981,44
GSM2172982,5
GSM2172983,44
GSM2172984,5
GSM2172985,44
GSM2172986,44
GSM2172987,5
GSM2172988,44
GSM2172989,5
GSM2172990,5
GSM2172991,5
GSM2172992,5
GSM2172993,5
GSM2172994,44
GSM2172995,5
GSM2172996,44
GSM2172997,44
GSM2172998,44
GSM2172999,5
GSM2173000,5
GSM2173001,44
GSM2173002,5
GSM2173003,5
GSM2173004,44
GSM2173005,5
GSM2173006,5
GSM2173007,5
GSM2173008,5
GSM2173009,44
GSM2173010,5
GSM2173011,44
GSM2173012,5
GSM2173013,44
GSM2173014,5
GSM2173015,5
GSM2173016,44
GSM2173017,44
GSM2173018,44
GSM2173019,5
GSM2173020,5
GSM2173021,5
GSM2173022,44
GSM2173023,5
GSM2173024,5
GSM2173025,5
GSM2173026,44
GSM2173027,5
GSM2173028,5
GSM2173029,5
GSM2173030,5
GSM2173031,5
GSM2173032,5
GSM2173033,5
GSM2173034,5
GSM2173035,5
GSM2173036,5
GSM2173037,5
GSM2173038,44
GSM2173039,5
GSM2173040,5
GSM2173041,5
GSM2173042,5
GSM2173043,44
GSM2173044,5
GSM2173045,5
GSM2173046,44
GSM2173047,5
GSM2173048,5
GSM2173049,5
GSM2173050,5
GSM2173051,5
GSM2173052,44
GSM2173053,5
GSM2173054,5
GSM2173055,44
GSM2173056,44
GSM2173057,5
GSM2173058,5
GSM2173059,5
GSM2173060,5
